User_id,Campaign_id,Revenue,Channel,Spend,ROAS
U1680,CMP1825,41243.46,Google Ads,30915.23,1.334082263014055
U9864,CMP6913,53914.46,Google Ads,917.29,58.775806996696794
U9864,CMP6913,53914.46,Google Ads,7133.98,7.557416757546279
U2616,CMP8929,21381.94,LinkedIn Ads,24202.15,0.8834727493218577
U9892,CMP5515,34862.3,Google Ads,3471.42,10.042662656780223
U5926,CMP6202,5914.47,Google Ads,41702.74,0.14182449402605202
U4555,CMP3734,27838.78,Instagram Ads,9290.98,2.996323315732033
U1170,CMP5821,40409.88,Facebook Ads,65394.93,0.6179359776056034
U1170,CMP5821,40409.88,Google Ads,40753.84,0.9915600591257168
U9126,CMP2678,63331.76,LinkedIn Ads,44805.47,1.4134827734202988
U3457,CMP0917,16537.52,Facebook Ads,3551.1,4.657013319816395
U9198,CMP6483,44155.52,Email Marketing,8705.19,5.072321224464945
U8349,CMP9561,4248.39,LinkedIn Ads,36833.61,0.11534003862233434
U6253,CMP2505,19417.5,Email Marketing,23015.2,0.8436815669644409
U4372,CMP0189,22542.39,Email Marketing,27792.05,0.8111092920457469
U8318,CMP7434,63243.94,Google Ads,85152.6,0.7427129647245063
U8318,CMP7434,63243.94,Google Ads,16519.95,3.8283372528367217
U8690,CMP9978,37028.97,Facebook Ads,25049.27,1.478245473820195
U1291,CMP5948,61339.73,Instagram Ads,1927.28,31.827098293968703
U2706,CMP8728,45789.6,Facebook Ads,15155.24,3.021370826196088
U2706,CMP8728,2703.28,Facebook Ads,15155.24,0.1783726288729179
U6119,CMP3471,9734.56,YouTube Ads,50096.75,0.19431520008783004
U6119,CMP3471,9734.56,Facebook Ads,30704.8,0.31703707563638256
U3609,CMP1050,47609.4,Instagram Ads,4279.96,11.123795549491117
U7954,CMP1105,54458.92,Google Ads,7243.57,7.518243076273164
U3120,CMP9356,32755.54,YouTube Ads,33110.91,0.9892672838046431
U3120,CMP9356,32755.54,Instagram Ads,24953.8,1.312647372344092
U1613,CMP6736,25943.22,LinkedIn Ads,13384.0,1.93837567244471
U6913,CMP1791,19298.13,Facebook Ads,9852.67,1.958670086382676
U0242,CMP1236,30926.25,LinkedIn Ads,2884.27,10.722383826756857
U0242,CMP1236,30926.25,Google Ads,15911.78,1.9436071891391158
U4346,CMP3503,52471.92,LinkedIn Ads,1990.78,26.357467927144135
U3567,CMP9106,41007.99,Email Marketing,41791.36,0.9812552163892249
U2580,CMP5139,63962.19,Google Ads,7026.78,9.102631646358645
U2580,CMP5139,63962.19,Instagram Ads,10173.18,6.287334933619576
U4034,CMP9750,46739.07,Google Ads,37336.38,1.2518372161414686
U5148,CMP9563,10467.7,YouTube Ads,49802.29,0.2101851139776906
U5148,CMP9563,61942.12,YouTube Ads,49802.29,1.2437604776808455
U9225,CMP4916,16576.71,LinkedIn Ads,1714.99,9.665776476830768
U9225,CMP4916,16576.71,Google Ads,8401.33,1.9731054487801336
U7180,CMP2171,46167.08,Instagram Ads,4931.7,9.361291238315388
U2201,CMP8667,8697.42,Google Ads,93182.4,0.09333758306289601
U3336,CMP2547,20350.8,Instagram Ads,15632.07,1.3018621334218692
U3336,CMP2547,22063.06,Instagram Ads,15632.07,1.4113972109899713
U0723,CMP4115,10463.36,Google Ads,13372.07,0.7824787037459422
U0159,CMP2648,52058.2,Email Marketing,67845.9,0.7673006032789011
U2089,CMP8939,67499.37,Google Ads,58667.66,1.150537962482226
U2089,CMP8939,67499.37,Google Ads,1285.99,52.48825418549133
U2089,CMP8939,67499.37,Google Ads,6463.43,10.44327392731104
U5795,CMP0654,56398.71,Instagram Ads,19522.23,2.8889481375846917
U6746,CMP3879,19176.42,Facebook Ads,5098.88,3.760908277896322
U6746,CMP3879,64602.21,Facebook Ads,5098.88,12.669882405547884
U5729,CMP1772,2507.08,LinkedIn Ads,3394.47,0.7385777455685276
U5754,CMP6529,51204.23,Instagram Ads,13336.36,3.8394456958270475
U2926,CMP8786,8798.9,Instagram Ads,2998.49,2.934443669980557
U1895,CMP5664,19663.14,Email Marketing,47505.77,0.4139105628642584
U3229,CMP7145,71203.94,Google Ads,79358.89,0.8972396161287034
