User_id,Campaign_id,Revenue,Channel,Spend,ROI
U1680,CMP1825,41243.46,Google Ads,30915.23,33.408226301405485
U9864,CMP6913,53914.46,Google Ads,917.29,5777.580699669679
U9864,CMP6913,53914.46,Google Ads,7133.98,655.7416757546277
U2616,CMP8929,21381.94,LinkedIn Ads,24202.15,-11.652725067814233
U9892,CMP5515,34862.3,Google Ads,3471.42,904.2662656780224
U5926,CMP6202,5914.47,Google Ads,41702.74,-85.8175505973948
U4555,CMP3734,27838.78,Instagram Ads,9290.98,199.63233157320326
U1170,CMP5821,40409.88,Facebook Ads,65394.93,-38.20640223943967
U1170,CMP5821,40409.88,Google Ads,40753.84,-0.8439940874283238
U9126,CMP2678,63331.76,LinkedIn Ads,44805.47,41.348277342029895
U3457,CMP0917,16537.52,Facebook Ads,3551.1,365.7013319816395
U9198,CMP6483,44155.52,Email Marketing,8705.19,407.2321224464945
U8349,CMP9561,4248.39,LinkedIn Ads,36833.61,-88.46599613776657
U6253,CMP2505,19417.5,Email Marketing,23015.2,-15.631843303555915
U4372,CMP0189,22542.39,Email Marketing,27792.05,-18.88907079542531
U8318,CMP7434,63243.94,Google Ads,85152.6,-25.728703527549367
U8318,CMP7434,63243.94,Google Ads,16519.95,282.83372528367215
U8690,CMP9978,37028.97,Facebook Ads,25049.27,47.82454738201952
U1291,CMP5948,61339.73,Instagram Ads,1927.28,3082.70982939687
U2706,CMP8728,45789.6,Facebook Ads,15155.24,202.1370826196088
U2706,CMP8728,2703.28,Facebook Ads,15155.24,-82.1627371127082
U6119,CMP3471,9734.56,YouTube Ads,50096.75,-80.568479991217
U6119,CMP3471,9734.56,Facebook Ads,30704.8,-68.29629243636174
U3609,CMP1050,47609.4,Instagram Ads,4279.96,1012.3795549491117
U7954,CMP1105,54458.92,Google Ads,7243.57,651.8243076273163
U3120,CMP9356,32755.54,YouTube Ads,33110.91,-1.0732716195356835
U3120,CMP9356,32755.54,Instagram Ads,24953.8,31.264737234409196
