Conversion_id,User_id,Revenue,Conversion_date,Revenue_Log,Revenue_Rank,High_Value_Conversion,Revenue_Category
CONV00001,U1680,27495.64,12/31/2025,10.221819094371677,926.0,1,Very High
CONV00002,U9864,35942.97,02/05/2025,10.489716616118,563.0,1,Very High
CONV00003,U2616,14254.63,12/30/2025,9.564907195389493,1432.0,0,Very High
CONV00004,U9892,23241.53,05/19/2025,10.053739069068127,1083.0,0,Very High
CONV00005,U5926,3942.98,11/13/2025,8.279945644715754,1862.0,0,Very High
CONV00006,U4555,18559.19,09/01/2025,9.828774243356758,1273.0,0,Very High
CONV00007,U1170,26939.92,11/15/2025,10.20140159934414,943.0,1,Very High
CONV00008,U9126,42221.17,05/17/2025,10.65070071752348,281.0,1,Very High
CONV00009,U3457,11025.01,11/02/2025,9.308012306096431,1578.0,0,Very High
CONV00010,U9198,29437.01,10/31/2025,10.290041975449464,826.0,1,Very High
CONV00011,U8349,2832.26,09/13/2025,7.949183271122403,1909.0,0,Very High
CONV00012,U6253,12945.0,11/19/2025,9.468542139105455,1489.0,0,Very High
CONV00013,U4372,15028.26,11/30/2025,9.61775424667134,1400.0,0,Very High
CONV00014,U8318,42162.63,03/12/2025,10.649313280078063,284.0,1,Very High
CONV00015,U8690,24685.98,01/04/2025,10.114031258130504,1030.0,0,Very High
CONV00016,U1291,40893.15,03/09/2025,10.61874230001603,345.0,1,Very High
CONV00017,U2706,30526.4,06/15/2025,10.326379919966818,785.0,1,Very High
CONV00018,U6119,6489.71,08/20/2025,8.778127202789994,1762.0,0,Very High
CONV00019,U3609,31739.6,01/11/2025,10.365351897493412,744.0,1,Very High
CONV00020,U7954,36305.95,05/18/2025,10.4997644619819,552.0,1,Very High
CONV00021,U3120,21837.03,03/03/2025,9.991408224325244,1146.0,0,Very High
CONV00022,U1613,17295.48,02/28/2025,9.758258291575313,1318.0,0,Very High
CONV00023,U6913,12865.42,05/03/2025,9.462376095616593,1493.0,0,Very High
CONV00024,U0242,20617.5,03/04/2025,9.933944010017056,1197.0,0,Very High
CONV00025,U4346,34981.28,09/13/2025,10.46259692655138,606.0,1,Very High
CONV00026,U3567,27338.66,02/22/2025,10.216093674209391,930.0,1,Very High
CONV00027,U2580,42641.46,02/01/2025,10.66060574948328,263.0,1,Very High
CONV00028,U4034,31159.38,11/06/2025,10.346902695032275,760.0,1,Very High
CONV00029,U5148,6978.47,05/23/2025,8.850728261641404,1741.0,0,Very High
CONV00030,U9225,11051.14,03/01/2025,9.310379353353596,1577.0,0,Very High
CONV00031,U7180,30778.05,10/31/2025,10.33458954271903,773.0,1,Very High
CONV00032,U2201,5798.28,06/02/2025,8.665489050897726,1785.0,0,Very High
CONV00033,U3336,13567.2,01/02/2026,9.51548409848908,1467.0,0,Very High
CONV00034,U0723,6975.57,01/10/2025,8.850312670966437,1742.0,0,Very High
CONV00035,U0159,34705.47,03/03/2025,10.454681403885727,617.0,1,Very High
CONV00036,U2089,44999.58,02/16/2025,10.714430657558283,186.0,1,Very High
CONV00037,U5795,37599.14,11/12/2025,10.53476305277531,490.0,1,Very High
CONV00038,U6746,12784.28,12/14/2025,9.456049788150311,1499.0,0,Very High
CONV00039,U5729,1671.39,06/12/2025,7.422009020033775,1954.0,0,Very High
CONV00040,U5754,34136.15,12/21/2025,10.438141513074696,649.0,1,Very High
CONV00041,U2926,5865.93,11/07/2025,8.677086777714408,1782.0,0,Very High
CONV00042,U1895,13108.76,08/08/2025,9.48111226995402,1484.0,0,Very High
CONV00043,U3229,47469.29,08/04/2025,10.767859320648254,90.0,1,Very High
CONV00044,U8309,16646.05,06/30/2025,9.719988302533682,1342.0,0,Very High
CONV00045,U2852,20600.72,12/08/2025,9.933129846437778,1199.0,0,Very High
CONV00046,U9940,22368.41,12/23/2025,10.015449679527508,1124.0,0,Very High
CONV00047,U4650,31153.41,09/23/2025,10.34671108722879,761.0,1,Very High
CONV00048,U0401,30758.06,02/17/2025,10.33393986398489,775.0,1,Very High
CONV00049,U6292,7804.78,10/03/2025,8.96261976389477,1709.0,0,Very High
CONV00050,U8487,12835.31,09/22/2025,9.460033152763923,1495.0,0,Very High
CONV00051,U9158,44625.58,11/20/2025,10.706084924617622,200.0,1,Very High
CONV00052,U7374,32064.24,06/06/2025,10.37552785635146,730.0,1,Very High
CONV00053,U4682,16325.62,05/18/2025,9.70055218352445,1356.0,0,Very High
CONV00054,U3506,16878.63,02/16/2025,9.733862848478434,1334.0,0,Very High
CONV00055,U0321,791.86,11/02/2025,6.675646661282277,1988.0,0,High
CONV00056,U9884,14010.3,05/08/2025,9.547619425889916,1448.0,0,Very High
